week_start,fat_pct,protein_pct,somatic_cell_count,pasture_quality_index,milk_collected_liters,yield_rate,cheese_output_kg
2024-10-21,3.5809,3.2295,190.45,65.5,11910.16,0.10048,1196.72
2024-10-28,3.547,3.2662,185.67,55.91,11276.18,0.09847,1110.33
2024-11-04,3.5716,3.2528,204.06,58.38,11218.29,0.09953,1116.53
2024-11-11,3.6489,3.1186,185.36,47.54,11703.11,0.10023,1172.95
2024-11-18,3.6054,3.3144,190.07,52.48,11485.5,0.09897,1136.72
2024-11-25,3.5188,3.2606,217.59,52.51,11455.22,0.10011,1146.78
2024-12-02,3.6181,3.285,207.24,43.68,11449.33,0.0979,1120.89
2024-12-09,3.553,3.1963,200.22,51.27,11703.97,0.09715,1137.05
2024-12-16,3.6233,3.2757,199.22,56.88,11740.56,0.1039,1219.87
2024-12-23,3.6109,3.4204,178.48,51.33,11372.49,0.10111,1149.84
2024-12-30,3.6671,3.3959,197.74,43.56,11847.17,0.09996,1184.29
2025-01-06,3.7013,3.4832,184.74,58.97,11574.68,0.10566,1222.95
2025-01-13,3.8338,3.2852,179.48,59.5,11880.31,0.10528,1250.73
2025-01-20,3.8349,3.3582,213.49,66.1,11914.74,0.10465,1246.91
2025-01-27,3.8502,3.387,204.86,62.59,11536.39,0.10535,1215.41
2025-02-03,3.8522,3.3941,206.24,65.08,11497.72,0.10384,1193.92
2025-02-10,3.8061,3.3228,227.23,72.72,11702.05,0.10526,1231.79
2025-02-17,3.7561,3.3433,181.63,65.08,11732.0,0.10664,1251.07
2025-02-24,3.8126,3.3834,209.29,71.07,12414.9,0.10367,1287.0
2025-03-03,3.7178,3.4618,164.21,73.47,12010.56,0.10965,1317.0
2025-03-10,3.6238,3.3711,183.58,76.82,11531.81,0.10749,1239.59
2025-03-17,3.7836,3.3773,147.15,85.52,12164.43,0.11298,1374.36
2025-03-24,3.679,3.3394,203.83,88.18,11609.77,0.10951,1271.42
2025-03-31,3.707,3.4106,184.04,89.09,11816.89,0.10884,1286.16
2025-04-07,3.6512,3.432,191.29,85.72,11612.01,0.10906,1266.39
2025-04-14,3.6912,3.2829,180.08,78.06,12046.71,0.10562,1272.32
2025-04-21,3.6365,3.3046,175.26,81.24,11154.04,0.1047,1167.83
2025-04-28,3.6337,3.3177,182.32,75.29,11694.28,0.10346,1209.87
2025-05-05,3.6342,3.2738,163.06,79.71,11699.53,0.10694,1251.13
2025-05-12,3.5663,3.2288,170.64,87.8,11316.42,0.10759,1217.51
2025-05-19,3.5373,3.3026,143.87,83.33,11513.13,0.10845,1248.66
2025-05-26,3.546,3.3356,158.5,91.57,11066.62,0.11067,1224.74
2025-06-02,3.6873,3.2548,184.29,91.27,11412.58,0.10599,1209.67
2025-06-09,3.5722,3.2407,173.44,84.65,11427.76,0.10716,1224.56
2025-06-16,3.673,3.2467,175.57,86.48,11543.94,0.10855,1253.14
2025-06-23,3.6853,3.175,181.16,91.28,11414.74,0.10769,1229.29
2025-06-30,3.7865,3.224,174.99,85.39,11225.98,0.10791,1211.43
2025-07-07,3.7422,3.2957,184.31,81.76,10742.88,0.10929,1174.11
2025-07-14,3.7336,3.2323,137.36,90.08,11477.15,0.11333,1300.68
2025-07-21,3.7334,3.1296,169.3,78.82,10985.39,0.10615,1166.07
2025-07-28,3.7505,3.2379,142.27,79.83,11167.97,0.10628,1186.91
2025-08-04,3.8658,3.2674,151.27,70.09,11139.55,0.11201,1247.77
2025-08-11,3.7901,3.2546,169.02,71.24,11571.85,0.10674,1235.2
2025-08-18,3.7831,3.2176,163.89,74.74,11579.31,0.10755,1245.32
2025-08-25,3.697,3.2743,174.94,61.98,11039.94,0.10415,1149.82
2025-09-01,3.695,3.253,173.32,61.93,11455.55,0.10518,1204.94
2025-09-08,3.7031,3.3264,185.04,59.1,10987.91,0.10447,1147.88
2025-09-15,3.785,3.2618,165.24,61.78,11595.91,0.10675,1237.92
2025-09-22,3.6818,3.3457,188.97,48.33,11363.07,0.10089,1146.43
2025-09-29,3.6928,3.3138,190.44,63.59,11494.98,0.10285,1182.24
2025-10-06,3.6781,3.2975,192.71,50.55,11609.72,0.1032,1198.07
2025-10-13,3.6232,3.3408,212.73,54.58,11517.35,0.10343,1191.21
2025-10-20,3.7031,3.4082,199.96,41.85,11282.81,0.10167,1147.09
2025-10-27,3.6318,3.443,185.56,51.42,11508.57,0.10253,1180.0
2025-11-03,3.6642,3.4032,174.25,61.55,11283.04,0.10466,1180.87
2025-11-10,3.5266,3.4046,196.18,48.26,11455.83,0.09662,1106.88
2025-11-17,3.5178,3.344,191.85,52.42,11834.1,0.09931,1175.27
2025-11-24,3.6264,3.4366,205.16,47.74,11496.56,0.10255,1178.93
2025-12-01,3.6514,3.3259,209.32,56.5,11568.86,0.10174,1177.04
2025-12-08,3.5728,3.4262,166.85,54.54,11508.72,0.10048,1156.41
2025-12-15,3.6254,3.5087,199.9,60.37,11508.48,0.10453,1202.95
2025-12-22,3.7329,3.2859,208.88,61.66,11268.91,0.10373,1168.93
