week_start,promo_intensity,competitor_price_index,holiday_flag,avg_temp_c,demand_kg
2025-03-31,1,1.0062,0,18.48,956.63
2025-04-07,0,1.0185,0,24.34,904.13
2025-04-14,0,1.0144,0,20.52,894.92
2025-04-21,0,1.0256,0,19.67,896.6
2025-04-28,0,1.0348,0,22.19,912.04
2025-05-05,1,1.0365,0,20.72,968.81
2025-05-12,0,0.9888,0,19.68,895.07
2025-05-19,0,0.9632,0,20.42,900.04
2025-05-26,0,0.9835,0,17.32,935.4
2025-06-02,0,0.992,0,16.51,939.05
2025-06-09,0,0.9758,0,16.03,887.82
2025-06-16,0,0.9705,0,13.18,930.16
2025-06-23,0,0.9869,0,13.86,897.13
2025-06-30,0,1.0126,0,14.93,881.68
2025-07-07,1,1.001,0,10.0,966.04
2025-07-14,0,1.0316,0,10.39,901.35
2025-07-21,0,1.0357,0,9.35,912.08
2025-07-28,0,1.039,0,8.31,856.19
2025-08-04,0,1.0231,0,8.0,874.37
2025-08-11,0,1.0002,0,3.05,936.26
2025-08-18,0,0.9928,0,6.13,897.39
2025-08-25,0,0.9943,0,4.71,874.16
2025-09-01,0,0.9826,0,5.06,937.07
2025-09-08,0,0.9697,0,3.19,871.21
2025-09-15,0,0.9681,0,1.84,881.36
2025-09-22,0,0.9815,0,3.47,874.38
2025-09-29,0,1.0047,0,2.75,860.78
2025-10-06,0,1.0276,0,0.59,888.14
2025-10-13,1,1.0116,0,1.2,953.54
2025-10-20,0,1.0336,0,2.99,921.08
2025-10-27,0,1.0125,0,3.06,898.78
2025-11-03,0,1.0194,1,4.52,966.37
2025-11-10,0,1.0059,1,4.89,944.7
2025-11-17,1,0.9971,1,4.07,992.97
2025-11-24,0,0.9695,1,7.93,953.37
2025-12-01,0,0.9855,1,7.8,951.41
2025-12-08,0,0.957,1,11.07,944.04
2025-12-15,0,1.0041,1,11.27,907.14
2025-12-22,0,0.9859,1,11.21,933.68
