week_start,milk_cost_per_liter,holding_cost_per_kg,stockout_cost_per_kg,spoilage_cost_per_kg,spoilage_rate
2023-12-04,0.6046,0.1966,2.4263,0.526,0.2
2023-12-11,0.6014,0.1976,2.3554,0.5119,0.2
2023-12-18,0.6195,0.1958,2.4033,0.5371,0.2
2023-12-25,0.6453,0.1979,2.3398,0.5344,0.2
2024-01-01,0.6455,0.1946,2.3748,0.5196,0.2
2024-01-08,0.6287,0.1937,2.4852,0.55,0.2
2024-01-15,0.6716,0.1964,2.4502,0.5398,0.2
2024-01-22,0.6433,0.1977,2.4235,0.5436,0.2
2024-01-29,0.6654,0.1883,2.4668,0.5452,0.2
2024-02-05,0.6668,0.1891,2.5101,0.5635,0.2
2024-02-12,0.6463,0.1887,2.4744,0.5602,0.2
2024-02-19,0.6757,0.1899,2.4273,0.5586,0.2
2024-02-26,0.6532,0.1937,2.4728,0.5667,0.2
2024-03-04,0.6546,0.1941,2.4653,0.5644,0.2
2024-03-11,0.6391,0.1859,2.4728,0.5815,0.2
2024-03-18,0.626,0.1846,2.4673,0.5613,0.2
2024-03-25,0.6163,0.1851,2.4955,0.5616,0.2
2024-04-01,0.6348,0.1838,2.4473,0.5659,0.2
2024-04-08,0.6319,0.1837,2.476,0.5805,0.2
2024-04-15,0.6101,0.175,2.4479,0.5677,0.2
2024-04-22,0.6301,0.1748,2.4321,0.556,0.2
2024-04-29,0.6213,0.1861,2.4426,0.5576,0.2
2024-05-06,0.593,0.1703,2.3907,0.575,0.2
2024-05-13,0.6033,0.1677,2.4239,0.5591,0.2
2024-05-20,0.5885,0.1713,2.4241,0.5609,0.2
2024-05-27,0.5924,0.1616,2.3932,0.5514,0.2
2024-06-03,0.6243,0.1678,2.3757,0.5632,0.2
2024-06-10,0.6029,0.1673,2.3691,0.5501,0.2
2024-06-17,0.6136,0.1586,2.4043,0.5599,0.2
2024-06-24,0.6166,0.1716,2.3813,0.5405,0.2
2024-07-01,0.6298,0.1533,2.3637,0.5622,0.2
2024-07-08,0.6553,0.1614,2.3342,0.5387,0.2
2024-07-15,0.6615,0.1729,2.3121,0.5308,0.2
2024-07-22,0.6448,0.1736,2.3828,0.5341,0.2
2024-07-29,0.6697,0.1648,2.3732,0.5326,0.2
2024-08-05,0.6583,0.176,2.3372,0.5276,0.2
2024-08-12,0.6705,0.1713,2.3383,0.5263,0.2
2024-08-19,0.6452,0.1757,2.321,0.5169,0.2
2024-08-26,0.6411,0.1786,2.3146,0.503,0.2
2024-09-02,0.6601,0.1786,2.2724,0.5287,0.2
2024-09-09,0.6565,0.1821,2.3023,0.5469,0.2
2024-09-16,0.6596,0.1789,2.3047,0.5392,0.2
2024-09-23,0.6294,0.1773,2.3415,0.5336,0.2
2024-09-30,0.6439,0.1773,2.3357,0.5315,0.2
2024-10-07,0.6163,0.1881,2.3272,0.5479,0.2
2024-10-14,0.5998,0.1775,2.3603,0.5617,0.2
2024-10-21,0.6366,0.1816,2.3509,0.5438,0.2
2024-10-28,0.6283,0.1952,2.2993,0.5561,0.2
2024-11-04,0.6048,0.1862,2.3897,0.5614,0.2
2024-11-11,0.608,0.1969,2.3061,0.5602,0.2
2024-11-18,0.5942,0.191,2.3782,0.5517,0.2
2024-11-25,0.5977,0.206,2.4463,0.5658,0.2
2024-12-02,0.6153,0.1897,2.4233,0.5381,0.2
2024-12-09,0.6114,0.1943,2.4277,0.5781,0.2
2024-12-16,0.6087,0.1964,2.4238,0.5881,0.2
2024-12-23,0.6281,0.1963,2.433,0.5887,0.2
2024-12-30,0.6335,0.1974,2.4151,0.573,0.2
2025-01-06,0.6309,0.1882,2.4823,0.5769,0.2
2025-01-13,0.6442,0.192,2.4724,0.5733,0.2
2025-01-20,0.6473,0.1988,2.5164,0.5786,0.2
2025-01-27,0.6589,0.1913,2.4678,0.5659,0.2
2025-02-03,0.6537,0.1963,2.4952,0.5457,0.2
2025-02-10,0.6488,0.1879,2.465,0.5483,0.2
2025-02-17,0.657,0.1848,2.4661,0.5734,0.2
2025-02-24,0.6718,0.1835,2.4835,0.5331,0.2
2025-03-03,0.6496,0.1831,2.4745,0.55,0.2
2025-03-10,0.6483,0.1805,2.4644,0.5359,0.2
2025-03-17,0.6494,0.1869,2.4577,0.5479,0.2
2025-03-24,0.6251,0.1892,2.5483,0.5431,0.2
2025-03-31,0.625,0.1778,2.4453,0.5346,0.2
2025-04-07,0.6249,0.1822,2.4371,0.5287,0.2
2025-04-14,0.6207,0.1778,2.4779,0.5408,0.2
2025-04-21,0.5762,0.1692,2.4403,0.5386,0.2
2025-04-28,0.6012,0.1683,2.4629,0.5218,0.2
2025-05-05,0.5894,0.1733,2.4456,0.5335,0.2
2025-05-12,0.5889,0.1883,2.4007,0.5329,0.2
2025-05-19,0.5958,0.171,2.4335,0.531,0.2
2025-05-26,0.6,0.1656,2.4595,0.5265,0.2
2025-06-02,0.5949,0.1632,2.3876,0.5222,0.2
2025-06-09,0.6274,0.1661,2.3838,0.517,0.2
2025-06-16,0.6081,0.1597,2.3613,0.5259,0.2
2025-06-23,0.6293,0.1642,2.3644,0.5324,0.2
2025-06-30,0.6352,0.1639,2.3408,0.5313,0.2
2025-07-07,0.6325,0.1664,2.3801,0.5471,0.2
2025-07-14,0.6536,0.1727,2.3483,0.5311,0.2
2025-07-21,0.6307,0.1745,2.3328,0.5542,0.2
2025-07-28,0.6661,0.1584,2.3304,0.5515,0.2
2025-08-04,0.6629,0.1666,2.3535,0.5456,0.2
2025-08-11,0.6663,0.1617,2.323,0.5482,0.2
2025-08-18,0.6501,0.1689,2.2842,0.5472,0.2
2025-08-25,0.6526,0.1711,2.2712,0.5753,0.2
2025-09-01,0.6522,0.1834,2.321,0.5636,0.2
2025-09-08,0.646,0.1746,2.3347,0.5534,0.2
2025-09-15,0.6519,0.1715,2.3649,0.5605,0.2
2025-09-22,0.6535,0.1905,2.317,0.5799,0.2
2025-09-29,0.617,0.1815,2.2782,0.5707,0.2
2025-10-06,0.6057,0.1891,2.3353,0.5791,0.2
2025-10-13,0.6257,0.1799,2.3322,0.5598,0.2
2025-10-20,0.6179,0.1818,2.3974,0.5627,0.2
2025-10-27,0.595,0.1904,2.3756,0.5645,0.2
2025-11-03,0.6058,0.1886,2.3921,0.5489,0.2
2025-11-10,0.6012,0.1905,2.4142,0.5365,0.2
2025-11-17,0.6087,0.1888,2.3876,0.5741,0.2
2025-11-24,0.6052,0.1954,2.401,0.563,0.2
2025-12-01,0.6104,0.1979,2.377,0.5401,0.2
2025-12-08,0.6138,0.198,2.4233,0.5701,0.2
2025-12-15,0.6344,0.196,2.4154,0.553,0.2
2025-12-22,0.6249,0.1943,2.4073,0.5198,0.2
